File,Revisions,Refactorings,BugFixes,SumOfAdded Lines,MaxOfAdded Lines,AvgOfAdded Lines,SumOfDeleted Lines,MaxOfDeleted Lines,AvgOfDeleted Lines,MaxOfCodeChurn,AvgOfCodeChurn,AvgChangeset,Age
applications/console/geronimo-console-ear/NOTICE.txt,1,0,0,0,0,0,0,0,0,0,0,1340,14
applications/console/geronimo-console-ear/pom.xml,2,0,0,0,0,0,0,0,0,0,0,671,14
applications/console/geronimo-console-ear/src/main/application/META-INF/application.xml,2,0,0,0,0,0,0,0,0,0,0,672,14
applications/console/geronimo-console-ear/src/main/application/META-INF/LICENSE.txt,1,0,0,0,0,0,0,0,0,0,0,1340,14
applications/console/geronimo-console-ear/src/main/application/META-INF/NOTICE.txt,2,0,0,0,0,0,0,0,0,0,0,672,14
applications/console/geronimo-console-ear/src/site/site.xml,1,0,0,0,0,0,0,0,0,0,0,1340,14
applications/console/geronimo-console-framework/NOTICE.txt,1,0,0,0,0,0,0,0,0,0,0,1340,14
applications/console/geronimo-console-framework/pom.xml,2,0,0,0,0,0,0,0,0,0,0,671,14
applications/console/geronimo-console-framework/src/main/java/org/apache/geronimo/console/servlet/ContextForwardServlet.java,1,0,0,0,0,0,0,0,0,0,0,1340,14
applications/console/geronimo-console-framework/src/main/java/org/apache/geronimo/console/servlet/GenericForwardServlet.java,2,0,0,0,0,0,0,0,0,0,0,672,14
applications/console/geronimo-console-framework/src/main/webapp/index.jsp,2,0,0,0,0,0,0,0,0,0,0,674,14
applications/console/geronimo-console-framework/src/main/webapp/js/forms.js,1,0,0,0,0,0,0,0,0,0,0,1340,14
applications/console/geronimo-console-framework/src/main/webapp/login.jsp,2,0,0,0,0,0,0,0,0,0,0,674,14
applications/console/geronimo-console-framework/src/main/webapp/login_success.jsp,2,0,0,0,0,0,0,0,0,0,0,674,14
applications/console/geronimo-console-framework/src/main/webapp/loginerror.jsp,2,0,0,0,0,0,0,0,0,0,0,674,14
applications/console/geronimo-console-framework/src/main/webapp/logout.jsp,2,0,0,0,0,0,0,0,0,0,0,674,14
applications/console/geronimo-console-framework/src/main/webapp/main.css,2,0,0,0,0,0,0,0,0,0,0,674,14
applications/console/geronimo-console-framework/src/main/webapp/pluto_style.css,2,0,0,0,0,0,0,0,0,0,0,674,14
applications/console/geronimo-console-framework/src/main/webapp/TreeDocIcon.css,1,0,0,0,0,0,0,0,0,0,0,1340,14
applications/console/geronimo-console-framework/src/main/webapp/WEB-INF/aggregation/Banner.jsp,1,0,0,0,0,0,0,0,0,0,0,1340,14
applications/console/geronimo-console-framework/src/main/webapp/WEB-INF/aggregation/ColumnFragment.jsp,2,0,0,0,0,0,0,0,0,0,0,674,14
applications/console/geronimo-console-framework/src/main/webapp/WEB-INF/aggregation/Head.jsp,2,0,0,0,0,0,0,0,0,0,0,674,14
applications/console/geronimo-console-framework/src/main/webapp/WEB-INF/aggregation/PageFragment.jsp,2,0,0,0,0,0,0,0,0,0,0,674,14
applications/console/geronimo-console-framework/src/main/webapp/WEB-INF/aggregation/PortletFragmentFooter.jsp,2,0,0,0,0,0,0,0,0,0,0,674,14
applications/console/geronimo-console-framework/src/main/webapp/WEB-INF/aggregation/PortletFragmentHeader.jsp,2,0,0,0,0,0,0,0,0,0,0,674,14
applications/console/geronimo-console-framework/src/main/webapp/WEB-INF/aggregation/RootFragment.jsp,2,0,0,0,0,0,0,0,0,0,0,674,14
applications/console/geronimo-console-framework/src/main/webapp/WEB-INF/aggregation/RowFragment.jsp,2,0,0,0,0,0,0,0,0,0,0,674,14
applications/console/geronimo-console-framework/src/main/webapp/WEB-INF/aggregation/TabNavigation.jsp,2,0,0,0,0,0,0,0,0,0,0,674,14
applications/console/geronimo-console-framework/src/main/webapp/WEB-INF/classes/castor.properties,1,0,0,0,0,0,0,0,0,0,0,1340,14
applications/console/geronimo-console-framework/src/main/webapp/WEB-INF/config/services.properties,1,0,0,0,0,0,0,0,0,0,0,1340,14
applications/console/geronimo-console-framework/src/main/webapp/WEB-INF/config/services/ConfigService.properties,1,0,0,0,0,0,0,0,0,0,0,1340,14
applications/console/geronimo-console-framework/src/main/webapp/WEB-INF/config/services/FactoryManagerService.properties,2,0,0,0,0,0,0,0,0,0,0,673,14
applications/console/geronimo-console-framework/src/main/webapp/WEB-INF/config/services/LogService.properties,2,0,0,0,0,0,0,0,0,0,0,673,14
applications/console/geronimo-console-framework/src/main/webapp/WEB-INF/config/services/PageRegistryService.properties,2,0,0,0,0,0,0,0,0,0,0,673,14
applications/console/geronimo-console-framework/src/main/webapp/WEB-INF/config/services/PortletDefinitionRegistryService.properties,2,0,0,0,0,0,0,0,0,0,0,673,14
applications/console/geronimo-console-framework/src/main/webapp/WEB-INF/config/services/PortletEntityRegistryService.properties,2,0,0,0,0,0,0,0,0,0,0,673,14
applications/console/geronimo-console-framework/src/main/webapp/WEB-INF/data/pageregistry.xml,1,0,0,0,0,0,0,0,0,0,0,1340,14
applications/console/geronimo-console-framework/src/main/webapp/WEB-INF/data/portletentityregistry.xml,2,0,0,0,0,0,0,0,0,0,0,671,14
applications/console/geronimo-console-framework/src/main/webapp/WEB-INF/data/xml/pageregistrymapping.xml,1,0,0,0,0,0,0,0,0,0,0,1340,14
applications/console/geronimo-console-framework/src/main/webapp/WEB-INF/data/xml/portletdefinitionmapping.xml,2,0,0,0,0,0,0,0,0,0,0,672,14
applications/console/geronimo-console-framework/src/main/webapp/WEB-INF/data/xml/portletentitymapping.xml,2,0,0,0,0,0,0,0,0,0,0,672,14
applications/console/geronimo-console-framework/src/main/webapp/WEB-INF/data/xml/servletdefinitionmapping.xml,2,0,0,0,0,0,0,0,0,0,0,672,14
applications/console/geronimo-console-framework/src/main/webapp/WEB-INF/tld/portlet.tld,1,0,0,0,0,0,0,0,0,0,0,1340,14
applications/console/geronimo-console-framework/src/main/webapp/WEB-INF/web.xml,1,0,0,0,0,0,0,0,0,0,0,1340,14
applications/console/geronimo-console-framework/src/site/site.xml,1,0,0,0,0,0,0,0,0,0,0,1340,14
applications/console/geronimo-console-standard/NOTICE.txt,1,0,0,0,0,0,0,0,0,0,0,1340,14
applications/console/geronimo-console-standard/pom.xml,2,0,0,0,0,0,0,0,0,0,0,671,14
applications/console/geronimo-console-standard/repository/dwr/dwr/1.1.1/dwr-1.1.1.jar,1,0,0,0,0,0,0,0,0,0,0,1340,14
applications/console/geronimo-console-standard/repository/dwr/dwr/1.1.1/dwr-1.1.1.jar.md5,2,0,0,0,0,0,0,0,0,0,0,671,14
applications/console/geronimo-console-standard/src/main/java/org/apache/geronimo/console/ajax/ProgressInfo.java,1,0,0,0,0,0,0,0,0,0,0,1340,14
applications/console/geronimo-console-standard/src/main/java/org/apache/geronimo/console/ajax/ProgressMonitor.java,2,0,0,0,0,0,0,0,0,0,0,672,14
applications/console/geronimo-console-standard/src/main/java/org/apache/geronimo/console/apache/jk/AJPHandler.java,1,0,0,0,0,0,0,0,0,0,0,1340,14
applications/console/geronimo-console-standard/src/main/java/org/apache/geronimo/console/apache/jk/ApacheConfigPortlet.java,2,0,0,0,0,0,0,0,0,0,0,677,14
applications/console/geronimo-console-standard/src/main/java/org/apache/geronimo/console/apache/jk/BaseApacheHandler.java,2,0,0,0,0,0,0,0,0,0,0,677,14
applications/console/geronimo-console-standard/src/main/java/org/apache/geronimo/console/apache/jk/ConfigHandler.java,2,0,0,0,0,0,0,0,0,0,0,677,14
applications/console/geronimo-console-standard/src/main/java/org/apache/geronimo/console/apache/jk/IndexHandler.java,2,0,0,0,0,0,0,0,0,0,0,677,14
applications/console/geronimo-console-standard/src/main/java/org/apache/geronimo/console/apache/jk/ResultsHandler.java,2,0,0,0,0,0,0,0,0,0,0,677,14
applications/console/geronimo-console-standard/src/main/java/org/apache/geronimo/console/apache/jk/WebAppHandler.java,2,0,0,0,0,0,0,0,0,0,0,677,14
applications/console/geronimo-console-standard/src/main/java/org/apache/geronimo/console/BasePortlet.java,1,0,0,0,0,0,0,0,0,0,0,1340,14
applications/console/geronimo-console-standard/src/main/java/org/apache/geronimo/console/ca/BaseCAHandler.java,1,0,0,0,0,0,0,0,0,0,0,1340,14
applications/console/geronimo-console-standard/src/main/java/org/apache/geronimo/console/ca/CADetailsHandler.java,2,0,0,0,0,0,0,0,0,0,0,684,14
applications/console/geronimo-console-standard/src/main/java/org/apache/geronimo/console/ca/CertificationAuthorityPortlet.java,2,0,0,0,0,0,0,0,0,0,0,684,14
applications/console/geronimo-console-standard/src/main/java/org/apache/geronimo/console/ca/CertReqDetailsHandler.java,2,0,0,0,0,0,0,0,0,0,0,684,14
applications/console/geronimo-console-standard/src/main/java/org/apache/geronimo/console/ca/ConfirmCAHandler.java,2,0,0,0,0,0,0,0,0,0,0,684,14
applications/console/geronimo-console-standard/src/main/java/org/apache/geronimo/console/ca/ConfirmCertReqHandler.java,2,0,0,0,0,0,0,0,0,0,0,684,14
applications/console/geronimo-console-standard/src/main/java/org/apache/geronimo/console/ca/ConfirmClientCertHandler.java,2,0,0,0,0,0,0,0,0,0,0,684,14
applications/console/geronimo-console-standard/src/main/java/org/apache/geronimo/console/ca/IntroHandler.java,2,0,0,0,0,0,0,0,0,0,0,684,14
applications/console/geronimo-console-standard/src/main/java/org/apache/geronimo/console/ca/ListRequestsIssueHandler.java,2,0,0,0,0,0,0,0,0,0,0,684,14
applications/console/geronimo-console-standard/src/main/java/org/apache/geronimo/console/ca/ListRequestsVerifyHandler.java,2,0,0,0,0,0,0,0,0,0,0,684,14
applications/console/geronimo-console-standard/src/main/java/org/apache/geronimo/console/ca/ProcessCSRHandler.java,2,0,0,0,0,0,0,0,0,0,0,684,14
applications/console/geronimo-console-standard/src/main/java/org/apache/geronimo/console/ca/SetupCAHandler.java,2,0,0,0,0,0,0,0,0,0,0,684,14
applications/console/geronimo-console-standard/src/main/java/org/apache/geronimo/console/ca/UnlockCAHandler.java,2,0,0,0,0,0,0,0,0,0,0,684,14
applications/console/geronimo-console-standard/src/main/java/org/apache/geronimo/console/ca/ViewCertificateHandler.java,2,0,0,0,0,0,0,0,0,0,0,684,14
applications/console/geronimo-console-standard/src/main/java/org/apache/geronimo/console/car/AddRepositoryHandler.java,1,0,0,0,0,0,0,0,0,0,0,1340,14
applications/console/geronimo-console-standard/src/main/java/org/apache/geronimo/console/car/BaseImportExportHandler.java,2,0,0,0,0,0,0,0,0,0,0,684,14
applications/console/geronimo-console-standard/src/main/java/org/apache/geronimo/console/car/CARExportServlet.java,2,0,0,0,0,0,0,0,0,0,0,684,14
applications/console/geronimo-console-standard/src/main/java/org/apache/geronimo/console/car/DownloadCARHandler.java,2,0,0,0,0,0,0,0,0,0,0,684,14
applications/console/geronimo-console-standard/src/main/java/org/apache/geronimo/console/car/DownloadStatusHandler.java,2,0,0,0,0,0,0,0,0,0,0,684,14
applications/console/geronimo-console-standard/src/main/java/org/apache/geronimo/console/car/ExportConfigHandler.java,2,0,0,0,0,0,0,0,0,0,0,684,14
applications/console/geronimo-console-standard/src/main/java/org/apache/geronimo/console/car/ExportHandler.java,2,0,0,0,0,0,0,0,0,0,0,684,14
applications/console/geronimo-console-standard/src/main/java/org/apache/geronimo/console/car/GeronimoAsMavenServlet.java,2,0,0,0,0,0,0,0,0,0,0,684,14
applications/console/geronimo-console-standard/src/main/java/org/apache/geronimo/console/car/ImportExportPortlet.java,2,0,0,0,0,0,0,0,0,0,0,684,14
applications/console/geronimo-console-standard/src/main/java/org/apache/geronimo/console/car/IndexHandler.java,2,0,0,0,0,0,0,0,0,0,0,684,14
applications/console/geronimo-console-standard/src/main/java/org/apache/geronimo/console/car/ListHandler.java,2,0,0,0,0,0,0,0,0,0,0,684,14
applications/console/geronimo-console-standard/src/main/java/org/apache/geronimo/console/car/ResultsHandler.java,2,0,0,0,0,0,0,0,0,0,0,684,14
applications/console/geronimo-console-standard/src/main/java/org/apache/geronimo/console/car/UpdateListHandler.java,2,0,0,0,0,0,0,0,0,0,0,684,14
applications/console/geronimo-console-standard/src/main/java/org/apache/geronimo/console/car/ViewPluginDownloadHandler.java,2,0,0,0,0,0,0,0,0,0,0,684,14
applications/console/geronimo-console-standard/src/main/java/org/apache/geronimo/console/certmanager/actions/ChangeStorePassword.java,1,0,0,0,0,0,0,0,0,0,0,1340,14
applications/console/geronimo-console-standard/src/main/java/org/apache/geronimo/console/certmanager/actions/GenerateCSR.java,2,0,0,0,0,0,0,0,0,0,0,678,14
applications/console/geronimo-console-standard/src/main/java/org/apache/geronimo/console/certmanager/actions/GenerateKeyPair.java,2,0,0,0,0,0,0,0,0,0,0,678,14
applications/console/geronimo-console-standard/src/main/java/org/apache/geronimo/console/certmanager/actions/ImportCAReply.java,2,0,0,0,0,0,0,0,0,0,0,678,14
applications/console/geronimo-console-standard/src/main/java/org/apache/geronimo/console/certmanager/actions/ImportTrustedCertificate.java,2,0,0,0,0,0,0,0,0,0,0,678,14
applications/console/geronimo-console-standard/src/main/java/org/apache/geronimo/console/certmanager/actions/UploadCertificateFile.java,2,0,0,0,0,0,0,0,0,0,0,678,14
applications/console/geronimo-console-standard/src/main/java/org/apache/geronimo/console/certmanager/actions/ViewKeyStore.java,2,0,0,0,0,0,0,0,0,0,0,678,14
applications/console/geronimo-console-standard/src/main/java/org/apache/geronimo/console/certmanager/actions/ViewKeyStoreEntryDetail.java,2,0,0,0,0,0,0,0,0,0,0,678,14
applications/console/geronimo-console-standard/src/main/java/org/apache/geronimo/console/certmanager/CertManagerPortlet.java,1,0,0,0,0,0,0,0,0,0,0,1340,14
applications/console/geronimo-console-standard/src/main/java/org/apache/geronimo/console/classloaderview/ClassLoaderViewPortlet.java,1,0,0,0,0,0,0,0,0,0,0,1340,14
applications/console/geronimo-console-standard/src/main/java/org/apache/geronimo/console/configcreator/AbstractHandler.java,1,0,0,0,0,0,0,0,0,0,0,1340,14
applications/console/geronimo-console-standard/src/main/java/org/apache/geronimo/console/configcreator/CreatePlanPortlet.java,2,0,0,0,0,0,0,0,0,0,0,681,14
applications/console/geronimo-console-standard/src/main/java/org/apache/geronimo/console/configcreator/DependenciesHandler.java,2,0,0,0,0,0,0,0,0,0,0,681,14
applications/console/geronimo-console-standard/src/main/java/org/apache/geronimo/console/configcreator/DeployStatusHandler.java,2,0,0,0,0,0,0,0,0,0,0,681,14
applications/console/geronimo-console-standard/src/main/java/org/apache/geronimo/console/configcreator/DisplayPlanHandler.java,2,0,0,0,0,0,0,0,0,0,0,681,14
applications/console/geronimo-console-standard/src/main/java/org/apache/geronimo/console/configcreator/EnvironmentHandler.java,2,0,0,0,0,0,0,0,0,0,0,681,14
applications/console/geronimo-console-standard/src/main/java/org/apache/geronimo/console/configcreator/GetArchiveHandler.java,2,0,0,0,0,0,0,0,0,0,0,681,14
applications/console/geronimo-console-standard/src/main/java/org/apache/geronimo/console/configcreator/JSR77_Util.java,2,0,0,0,0,0,0,0,0,0,0,681,14
applications/console/geronimo-console-standard/src/main/java/org/apache/geronimo/console/configcreator/JSR88_Util.java,2,0,0,0,0,0,0,0,0,0,0,681,14
applications/console/geronimo-console-standard/src/main/java/org/apache/geronimo/console/configcreator/ReferencesHandler.java,2,0,0,0,0,0,0,0,0,0,0,681,14
applications/console/geronimo-console-standard/src/main/java/org/apache/geronimo/console/configcreator/SecurityHandler.java,2,0,0,0,0,0,0,0,0,0,0,681,14
applications/console/geronimo-console-standard/src/main/java/org/apache/geronimo/console/configmanager/ConfigManagerPortlet.java,1,0,0,0,0,0,0,0,0,0,0,1340,14
applications/console/geronimo-console-standard/src/main/java/org/apache/geronimo/console/configmanager/DeploymentPortlet.java,2,0,0,0,0,0,0,0,0,0,0,673,14
applications/console/geronimo-console-standard/src/main/java/org/apache/geronimo/console/configmanager/PlanExportServlet.java,2,0,0,0,0,0,0,0,0,0,0,673,14
applications/console/geronimo-console-standard/src/main/java/org/apache/geronimo/console/databasemanager/DataSourceInfo.java,1,0,0,0,0,0,0,0,0,0,0,1340,14
applications/console/geronimo-console-standard/src/main/java/org/apache/geronimo/console/databasemanager/wizard/DatabaseDriver.java,1,0,0,0,0,0,0,0,0,0,0,1340,14
applications/console/geronimo-console-standard/src/main/java/org/apache/geronimo/console/databasemanager/wizard/DatabaseDriverGBean.java,2,0,0,0,0,0,0,0,0,0,0,676,14
applications/console/geronimo-console-standard/src/main/java/org/apache/geronimo/console/databasemanager/wizard/DatabaseInfo.java,2,0,0,0,0,0,0,0,0,0,0,676,14
applications/console/geronimo-console-standard/src/main/java/org/apache/geronimo/console/databasemanager/wizard/DatabasePoolPortlet.java,2,0,0,0,0,0,0,0,0,0,0,676,14
applications/console/geronimo-console-standard/src/main/java/org/apache/geronimo/console/databasemanager/wizard/DriverDownloader.java,2,0,0,0,0,0,0,0,0,0,0,676,14
applications/console/geronimo-console-standard/src/main/java/org/apache/geronimo/console/databasemanager/wizard/ImportStatus.java,2,0,0,0,0,0,0,0,0,0,0,676,14
applications/console/geronimo-console-standard/src/main/java/org/apache/geronimo/console/dependencyview/DependencyViewPortlet.java,1,0,0,0,0,0,0,0,0,0,0,1340,14
applications/console/geronimo-console-standard/src/main/java/org/apache/geronimo/console/derbylogmanager/DerbyLogHelper.java,1,0,0,0,0,0,0,0,0,0,0,1340,14
applications/console/geronimo-console-standard/src/main/java/org/apache/geronimo/console/derbylogmanager/DerbyLogViewerPortlet.java,2,0,0,0,0,0,0,0,0,0,0,672,14
applications/console/geronimo-console-standard/src/main/java/org/apache/geronimo/console/EmptyPortlet.java,2,0,0,0,0,0,0,0,0,0,0,675,14
applications/console/geronimo-console-standard/src/main/java/org/apache/geronimo/console/infomanager/JavaSystemInfoPortlet.java,1,0,0,0,0,0,0,0,0,0,0,1340,14
applications/console/geronimo-console-standard/src/main/java/org/apache/geronimo/console/infomanager/ServerInfoPortlet.java,2,0,0,0,0,0,0,0,0,0,0,673,14
