File,Revisions,SumOfREF,SumOfAdded Lines,MaxOfAdded Lines,AvgOfAdded Lines,SumOfDeleted Lines,MaxOfDeleted Lines,AvgOfDeleted Lines,MaxOfCodeChurn,AvgChangeset,Age
applications/console/geronimo-console-framework/src/main/webapp/WEB-INF/data/xml/servletdefinitionmapping.xml,1,0,0,,0,0,,0,0,0,9
applications/console/geronimo-console-framework/src/main/webapp/WEB-INF/tld/portlet.tld,1,0,0,,0,0,,0,0,0,9
applications/console/geronimo-console-framework/src/main/webapp/WEB-INF/web.xml,3,0,48,,16,2,,1,48,17,37
applications/console/geronimo-console-framework/src/site/site.xml,3,0,12,,4,10,,3,11,7,7
applications/console/geronimo-console-standard/NOTICE.txt,3,0,6,,2,1,,0,5,2,45
applications/console/geronimo-console-standard/pom.xml,17,0,57,,3,42,,2,14,6,47
applications/console/geronimo-console-standard/repository/dwr/dwr/1.1.1/dwr-1.1.1.jar,1,0,0,,0,0,,0,0,0,3
applications/console/geronimo-console-standard/src/main/java/org/apache/geronimo/console/ajax/ProgressInfo.java,1,0,0,,0,0,,0,0,0,9
applications/console/geronimo-console-standard/src/main/java/org/apache/geronimo/console/ajax/ProgressMonitor.java,2,0,0,,0,0,,0,0,0,9
applications/console/geronimo-console-standard/src/main/java/org/apache/geronimo/console/apache/jk/AJPHandler.java,1,0,0,,0,0,,0,0,0,9
applications/console/geronimo-console-standard/src/main/java/org/apache/geronimo/console/apache/jk/ApacheConfigPortlet.java,2,0,0,,0,0,,0,0,0,9
applications/console/geronimo-console-standard/src/main/java/org/apache/geronimo/console/apache/jk/BaseApacheHandler.java,4,0,68,,17,12,,3,40,20,45
applications/console/geronimo-console-standard/src/main/java/org/apache/geronimo/console/apache/jk/ConfigHandler.java,2,0,0,,0,0,,0,0,0,9
applications/console/geronimo-console-standard/src/main/java/org/apache/geronimo/console/apache/jk/IndexHandler.java,2,0,0,,0,0,,0,0,0,9
applications/console/geronimo-console-standard/src/main/java/org/apache/geronimo/console/apache/jk/ResultsHandler.java,2,0,0,,0,0,,0,0,0,9
applications/console/geronimo-console-standard/src/main/java/org/apache/geronimo/console/apache/jk/WebAppHandler.java,2,0,0,,0,0,,0,0,0,9
applications/console/geronimo-console-standard/src/main/java/org/apache/geronimo/console/BasePortlet.java,1,0,0,,0,0,,0,0,0,9
applications/console/geronimo-console-standard/src/main/java/org/apache/geronimo/console/ca/BaseCAHandler.java,2,0,126,,63,1,,0,125,64,24
applications/console/geronimo-console-standard/src/main/java/org/apache/geronimo/console/ca/CADetailsHandler.java,6,0,408,,68,202,,34,203,102,24
applications/console/geronimo-console-standard/src/main/java/org/apache/geronimo/console/ca/CertificationAuthorityPortlet.java,6,0,232,,39,114,,19,115,58,24
applications/console/geronimo-console-standard/src/main/java/org/apache/geronimo/console/ca/CertReqDetailsHandler.java,6,0,508,,85,252,,42,253,127,24
