File,Revisions,Refactorings,BugFixes,SumOfAdded Lines,MaxOfAdded Lines,AvgOfAdded Lines,SumOfDeleted Lines,MaxOfDeleted Lines,AvgOfDeleted Lines,MaxOfCodeChurn,AvgOfCodeChurn,MaxOfCount,AvgChangeset,Age
applications/console/geronimo-console-standard/src/main/webapp/WEB-INF/view/realmwizard/configure.jsp,2,0,0,0,,0,0,,0,0,0,16,10.5,10
applications/console/geronimo-console-standard/src/main/webapp/WEB-INF/view/realmwizard/selectType.jsp,2,0,0,0,,0,0,,0,0,0,16,10.5,10
applications/console/geronimo-console-standard/src/main/webapp/WEB-INF/view/realmwizard/testLogin.jsp,2,0,0,0,,0,0,,0,0,0,16,10.5,10
applications/console/geronimo-console-standard/src/main/webapp/WEB-INF/view/webmanager/connector/editHTTP.jsp,2,0,0,0,,0,0,,0,0,0,16,9,10
applications/console/geronimo-console-standard/src/main/webapp/WEB-INF/view/webmanager/connector/editHTTPS.jsp,2,0,0,0,,0,0,,0,0,0,16,9,10
applications/console/pom.xml,4,0,0,8,,2,8,,2,8,4,225,65.75,7
applications/demo/NOTICE.txt,2,0,0,0,,0,0,,0,0,0,225,113,7
applications/geronimo-examples/geronimo-jsp-examples/pom.xml,4,0,0,2,,0,36,,9,19,9.5,225,57,7
applications/geronimo-examples/geronimo-servlet-examples/pom.xml,2,0,0,0,,0,0,,0,0,0,225,113,7
applications/geronimo-ldap-demo/pom.xml,2,0,0,0,,0,0,,0,0,0,36,18.5,7
applications/geronimo-remote-deploy/pom.xml,2,0,0,0,,0,0,,0,0,0,36,18.5,7
applications/geronimo-uddi-db/pom.xml,4,0,0,2,,0,2,,0,2,1,36,9.75,7
applications/geronimo-uddi-server/pom.xml,4,0,0,28,,7,30,,8,29,14.5,36,11.5,8
applications/geronimo-welcome/pom.xml,4,0,0,22,,6,24,,6,23,11.5,36,11.5,8
applications/ldap-realm-demo/LICENSE.txt,2,0,0,0,,0,0,,0,0,0,225,114,7
applications/ldap-realm-demo/NOTICE.txt,2,0,0,0,,0,0,,0,0,0,225,114,7
applications/ldap-realm-demo/pom.xml,4,0,0,4,,1,0,,0,2,1,225,72.25,7
applications/ldap-realm-demo/src/main/webapp,2,0,0,0,,0,0,,0,0,0,225,113,7
applications/magicGball/magicGball-client/LICENSE.txt,2,0,0,0,,0,0,,0,0,0,225,113.5,7
applications/magicGball/magicGball-client/NOTICE.txt,2,0,0,0,,0,0,,0,0,0,225,113.5,7
applications/magicGball/magicGball-ear/LICENSE.txt,2,0,0,0,,0,0,,0,0,0,225,114,7
applications/magicGball/magicGball-ear/NOTICE.txt,2,0,0,0,,0,0,,0,0,0,225,114,7
applications/magicGball/magicGball-ear/pom.xml,2,0,0,0,,0,0,,0,0,0,225,114,7
applications/magicGball/magicGball-ear/src/main/plan/magicgball-corba-nosec-plan.xml,2,0,0,6,,3,0,,0,3,3,2,2,10
applications/magicGball/magicGball-ear/src/main/plan/magicgball-corba-plan.xml,2,0,0,6,,3,0,,0,3,3,2,2,10
applications/magicGball/magicGball-ejb/LICENSE.txt,2,0,0,0,,0,0,,0,0,0,225,113.5,7
applications/magicGball/magicGball-ejb/NOTICE.txt,2,0,0,0,,0,0,,0,0,0,225,113.5,7
applications/magicGball/magicGball-web/LICENSE.txt,2,0,0,0,,0,0,,0,0,0,225,114,7
applications/magicGball/magicGball-web/NOTICE.txt,2,0,0,0,,0,0,,0,0,0,225,114,7
applications/magicGball/magicGball-web/pom.xml,2,0,0,0,,0,0,,0,0,0,225,114,7
applications/magicGball/pom.xml,2,0,0,0,,0,0,,0,0,0,225,113,7
applications/pom.xml,2,0,0,0,,0,0,,0,0,0,36,18.5,7
applications/remote-deploy/maven.xml,2,0,0,0,,0,0,,0,0,0,36,20,7
applications/remote-deploy/pom.xml,6,0,0,4,,1,0,,0,2,0.67,225,54.5,7
applications/remote-deploy/project.properties,2,0,0,0,,0,0,,0,0,0,36,20,7
applications/remote-deploy/project.xml,2,0,0,0,,0,0,,0,0,0,36,20,7
applications/remote-deploy/src/java,2,0,0,0,,0,0,,0,0,0,36,19,7
applications/remote-deploy/src/main/java,4,0,0,0,,0,0,,0,0,0,225,66.25,7
applications/remote-deploy/src/main/webapp,4,0,0,0,,0,0,,0,0,0,225,66.25,7
applications/remote-deploy/src/webapp,2,0,0,0,,0,0,,0,0,0,36,19,7
applications/uddi-db/LICENSE.txt,2,0,0,0,,0,0,,0,0,0,225,114,7
applications/uddi-db/NOTICE.txt,2,0,0,0,,0,0,,0,0,0,225,114,7
applications/uddi-db/pom.xml,4,0,0,2,,0,2,,0,2,1,225,72.25,7
applications/uddi-db/src/main/sql,2,0,0,0,,0,0,,0,0,0,225,113,7
applications/uddi-server/maven.xml,2,0,0,0,,0,0,,0,0,0,36,21,7
applications/uddi-server/NOTICE,2,0,0,0,,0,0,,0,0,0,36,21,7
applications/uddi-server/NOTICE.txt,4,0,0,0,,0,0,,0,0,0,36,11,7
applications/uddi-server/pom.xml,4,0,0,0,,0,0,,0,0,0,60,25.75,7
applications/uddi-server/project.properties,2,0,0,0,,0,0,,0,0,0,36,21,7
applications/uddi-server/project.xml,2,0,0,0,,0,0,,0,0,0,36,21,7
applications/uddi-server/src/main/webapp,4,0,0,0,,0,0,,0,0,0,225,65.75,7
applications/uddi-server/src/webapp,2,0,0,0,,0,0,,0,0,0,36,18.5,7
applications/welcome/maven.xml,2,0,0,0,,0,0,,0,0,0,36,20,7
applications/welcome/pom.xml,4,0,0,0,,0,0,,0,0,0,60,25.25,7
applications/welcome/project.properties,2,0,0,0,,0,0,,0,0,0,36,20,7
applications/welcome/project.xml,2,0,0,0,,0,0,,0,0,0,36,20,7
applications/welcome/src/java,2,0,0,0,,0,0,,0,0,0,36,19.5,7
applications/welcome/src/main/java,4,0,0,0,,0,0,,0,0,0,225,66.25,7
applications/welcome/src/main/webapp,4,0,0,0,,0,0,,0,0,0,225,66.25,7
applications/welcome/src/plan,2,0,0,0,,0,0,,0,0,0,36,19.5,7
applications/welcome/src/webapp,2,0,0,0,,0,0,,0,0,0,36,19.5,7
assemblies/geronimo-boilerplate-j2ee/pom.xml,4,0,0,166,,42,22,,6,94,47,44,12,10
assemblies/geronimo-boilerplate-minimal/pom.xml,3,0,0,14,,5,84,,28,94,32.67,60,35.33,10
assemblies/geronimo-boilerplate-minimal/src/main/resources/bin/deploy.bat,2,0,0,0,,0,0,,0,0,0,6,6,7
assemblies/geronimo-boilerplate-minimal/src/main/resources/bin/geronimo.bat,2,0,0,0,,0,0,,0,0,0,6,6,7
assemblies/geronimo-boilerplate-minimal/src/main/resources/bin/setjavaenv.bat,2,0,0,0,,0,0,,0,0,0,6,6,7
assemblies/geronimo-boilerplate-minimal/src/main/resources/bin/shutdown.bat,2,0,0,0,,0,0,,0,0,0,6,6,7
